Materiale,Colore,Manica,Stagione,time,Meteo,TemperaturaPercepita,StagionePrevisione,Mese
poliestere,scuro,lunga,primavera_estate,2022-02-25,soleggiato,7.800000000000001,inverno,febbraio
cotone,scuro,lunga,estate,2022-02-22,neve,-0.05,inverno,febbraio
poliestere,colorato,lunga,estate,2022-07-10,soleggiato,24.5,estate,luglio
cotone,scuro,lunga,autunno,2022-05-22,nuvoloso,21.9,primavera,maggio
poliestere,colorato,lunga,autunno,2022-02-13,pioggia,3.35,inverno,febbraio
poliestere,scuro,lunga,autunno,2022-03-03,nuvoloso,5.4,primavera,marzo
poliestere,colorato,lunga,autunno,2022-11-01,nuvoloso,18.8,autunno,novembre
poliestere,chiaro,lunga,primavera_estate,2022-02-11,soleggiato,5.9,inverno,febbraio
poliestere,chiaro,corta,estate,2022-04-27,soleggiato,20.85,primavera,aprile
poliestere,chiaro,lunga,estate,2022-02-09,soleggiato,1.7999999999999998,inverno,febbraio
cotone,scuro,corta,estate,2022-05-24,pioggia,24.3,primavera,maggio
poliestere,scuro,lunga,autunno,2022-07-12,pioggia,25.4,estate,luglio
poliestere,colorato,corta,estate,2022-03-12,soleggiato,-0.7999999999999998,primavera,marzo
poliestere,chiaro,lunga,estate,2022-01-25,soleggiato,-3.25,inverno,gennaio
cotone,scuro,lunga,autunno,2022-01-23,soleggiato,1.7999999999999998,inverno,gennaio
cotone,scuro,corta,estate,2022-09-22,soleggiato,15.15,autunno,settembre
cotone,colorato,lunga,autunno,2022-12-04,pioggia,7.5,inverno,dicembre
poliestere,scuro,lunga,estate,2022-09-11,pioggia,22.55,autunno,settembre
cotone,scuro,lunga,estate,2022-12-16,pioggia,15.9,inverno,dicembre
poliestere,scuro,lunga,autunno,2022-01-16,soleggiato,8.1,inverno,gennaio
poliestere,colorato,corta,estate,2022-01-11,soleggiato,1.5,inverno,gennaio
poliestere,colorato,lunga,primavera_estate,2022-07-30,soleggiato,31.65,estate,luglio
poliestere,colorato,lunga,primavera,2022-05-29,pioggia,13.8,primavera,maggio
poliestere,scuro,lunga,autunno,2022-06-20,soleggiato,19.5,estate,giugno
poliestere,colorato,lunga,autunno,2022-01-02,pioggia,6.45,inverno,gennaio
cotone,chiaro,corta,estate,2022-08-30,pioggia,28.700000000000003,estate,agosto
cotone,chiaro,lunga,autunno,2022-12-06,soleggiato,-4.05,inverno,dicembre
cotone,scuro,corta,estate,2022-03-05,soleggiato,1.4,primavera,marzo
poliestere,scuro,lunga,primavera_estate,2022-02-12,soleggiato,8.1,inverno,febbraio
poliestere,colorato,corta,estate,2022-06-05,soleggiato,29.4,estate,giugno
poliestere,chiaro,lunga,autunno,2022-03-02,soleggiato,1.4000000000000004,primavera,marzo
poliestere,chiaro,corta,estate,2022-06-26,soleggiato,25.45,estate,giugno
cotone,scuro,lunga,estate,2022-02-18,nuvoloso,6.3,inverno,febbraio
poliestere,colorato,corta,estate,2022-05-19,soleggiato,18.65,primavera,maggio
poliestere,colorato,lunga,primavera_estate,2022-12-16,neve,1.2499999999999998,inverno,dicembre
cotone,chiaro,lunga,autunno,2022-08-15,soleggiato,27.8,estate,agosto
poliestere,colorato,lunga,autunno,2022-11-17,pioggia,7.4,autunno,novembre
poliestere,chiaro,corta,estate,2022-05-06,pioggia,13.0,primavera,maggio
poliestere,scuro,corta,estate,2022-09-22,soleggiato,13.05,autunno,settembre
poliestere,colorato,lunga,primavera_estate,2022-04-24,pioggia,11.4,primavera,aprile
poliestere,colorato,lunga,autunno,2022-11-09,pioggia,3.4,autunno,novembre
poliestere,chiaro,lunga,autunno,2022-11-25,nuvoloso,5.4,autunno,novembre
cotone,chiaro,corta,estate,2022-06-04,pioggia,17.7,estate,giugno
raso,scuro,lunga,estate,2022-07-14,soleggiato,29.4,estate,luglio
poliestere,chiaro,lunga,autunno,2022-01-24,pioggia,0.7999999999999998,inverno,gennaio
poliestere,colorato,lunga,estate,2022-01-29,soleggiato,2.45,inverno,gennaio
poliestere,scuro,lunga,autunno,2022-06-29,pioggia,27.8,estate,giugno
poliestere,colorato,corta,estate,2022-05-31,pioggia,22.15,primavera,maggio
cotone,scuro,lunga,primavera_estate,2022-03-21,soleggiato,-2.65,primavera,marzo
poliestere,colorato,lunga,estate,2022-12-04,pioggia,6.15,inverno,dicembre
cotone,scuro,lunga,primavera_estate,2022-12-02,neve,0.7999999999999998,inverno,dicembre
poliestere,colorato,lunga,primavera_estate,2022-04-10,soleggiato,6.85,primavera,aprile
cotone,chiaro,corta,estate,2022-11-17,nuvoloso,11.8,autunno,novembre
poliestere,scuro,lunga,estate,2022-10-17,nuvoloso,10.3,autunno,ottobre
poliestere,chiaro,lunga,autunno,2022-08-01,soleggiato,27.05,estate,agosto
poliestere,scuro,corta,estate,2022-02-04,soleggiato,-3.3,inverno,febbraio
cotone,colorato,lunga,estate,2022-10-03,soleggiato,23.65,autunno,ottobre
cotone,scuro,corta,estate,2022-08-27,pioggia,17.1,estate,agosto
poliestere,scuro,corta,estate,2022-07-09,soleggiato,29.25,estate,luglio
poliestere,colorato,corta,estate,2022-10-14,soleggiato,16.4,autunno,ottobre
poliestere,scuro,lunga,primavera_estate,2022-11-22,pioggia,4.75,autunno,novembre
poliestere,chiaro,lunga,estate,2022-05-10,pioggia,19.55,primavera,maggio
poliestere,colorato,lunga,estate,2022-04-25,pioggia,9.4,primavera,aprile
poliestere,chiaro,corta,estate,2022-03-01,pioggia,0.8999999999999999,primavera,marzo
cotone,scuro,lunga,primavera_estate,2022-10-03,nuvoloso,21.15,autunno,ottobre
cotone,colorato,corta,primavera_estate,2022-07-06,pioggia,16.45,estate,luglio
raso,scuro,corta,estate,2022-09-02,soleggiato,31.0,autunno,settembre
cotone,scuro,lunga,estate,2022-04-07,pioggia,6.949999999999999,primavera,aprile
cotone,chiaro,corta,primavera_estate,2022-05-04,soleggiato,16.5,primavera,maggio
poliestere,chiaro,lunga,estate,2022-09-08,pioggia,28.75,autunno,settembre
poliestere,scuro,corta,estate,2022-12-20,nuvoloso,3.8,inverno,dicembre
poliestere,colorato,lunga,primavera_estate,2022-11-22,neve,-1.65,autunno,novembre
poliestere,chiaro,lunga,estate,2022-11-18,pioggia,21.65,autunno,novembre
poliestere,chiaro,lunga,estate,2022-10-31,soleggiato,10.35,autunno,ottobre
poliestere,chiaro,lunga,estate,2022-10-01,pioggia,20.0,autunno,ottobre
poliestere,scuro,corta,estate,2022-04-12,soleggiato,7.0,primavera,aprile
poliestere,chiaro,lunga,estate,2022-08-29,nuvoloso,27.55,estate,agosto
poliestere,scuro,lunga,primavera_estate,2022-02-21,pioggia,8.049999999999999,inverno,febbraio
cotone,scuro,corta,estate,2022-07-18,pioggia,24.25,estate,luglio
poliestere,chiaro,lunga,autunno,2022-08-11,soleggiato,26.65,estate,agosto
poliestere,colorato,lunga,estate,2022-03-08,soleggiato,-0.55,primavera,marzo
poliestere,colorato,lunga,autunno,2022-12-23,pioggia,11.6,inverno,dicembre
poliestere,chiaro,corta,estate,2022-05-31,pioggia,22.95,primavera,maggio
poliestere,colorato,lunga,autunno,2022-12-13,pioggia,16.299999999999997,inverno,dicembre
cotone,chiaro,corta,estate,2022-08-24,soleggiato,27.3,estate,agosto
poliestere,scuro,lunga,autunno,2022-01-16,nuvoloso,5.1000000000000005,inverno,gennaio
cotone,scuro,lunga,primavera_estate,2022-03-05,pioggia,9.35,primavera,marzo
poliestere,scuro,lunga,estate,2022-09-24,pioggia,17.3,autunno,settembre
poliestere,chiaro,corta,estate,2022-11-10,pioggia,12.7,autunno,novembre
velluto,scuro,lunga,autunno_inverno,2022-11-07,pioggia,7.85,autunno,novembre
poliestere,colorato,corta,estate,2022-06-03,pioggia,21.9,estate,giugno
poliestere,colorato,lunga,estate,2022-07-04,soleggiato,31.15,estate,luglio
poliestere,chiaro,lunga,primavera_estate,2022-02-21,pioggia,6.5,inverno,febbraio
poliestere,colorato,lunga,autunno,2022-02-07,pioggia,7.699999999999999,inverno,febbraio
poliestere,scuro,lunga,autunno,2022-04-28,soleggiato,17.4,primavera,aprile
poliestere,scuro,lunga,autunno,2022-08-25,soleggiato,26.85,estate,agosto
poliestere,scuro,lunga,estate,2022-02-21,pioggia,8.0,inverno,febbraio
cotone,scuro,lunga,autunno,2022-03-22,soleggiato,5.55,primavera,marzo
poliestere,scuro,lunga,autunno,2022-04-30,soleggiato,13.1,primavera,aprile
poliestere,scuro,lunga,primavera_estate,2022-08-03,soleggiato,33.55,estate,agosto
raso,chiaro,lunga,primavera_estate,2022-04-06,pioggia,11.5,primavera,aprile
poliestere,colorato,lunga,autunno,2022-08-27,pioggia,21.8,estate,agosto
poliestere,chiaro,lunga,estate,2022-07-09,soleggiato,24.5,estate,luglio
cotone,scuro,lunga,primavera_estate,2022-03-17,nuvoloso,9.65,primavera,marzo
cotone,chiaro,corta,estate,2022-01-13,soleggiato,-0.5499999999999998,inverno,gennaio
velluto,scuro,lunga,autunno_inverno,2022-03-19,pioggia,13.0,primavera,marzo
poliestere,scuro,lunga,estate,2022-10-26,soleggiato,15.4,autunno,ottobre
poliestere,chiaro,lunga,estate,2022-10-12,pioggia,24.65,autunno,ottobre
cotone,colorato,lunga,estate,2022-02-12,soleggiato,3.0,inverno,febbraio
poliestere,scuro,corta,estate,2022-12-01,pioggia,3.1,inverno,dicembre
poliestere,scuro,corta,estate,2022-03-20,soleggiato,6.800000000000001,primavera,marzo
cotone,chiaro,corta,estate,2022-03-24,soleggiato,10.2,primavera,marzo
cotone,colorato,lunga,estate,2022-12-16,pioggia,4.5,inverno,dicembre
poliestere,scuro,lunga,autunno,2022-10-23,nuvoloso,21.3,autunno,ottobre
poliestere,scuro,lunga,estate,2022-09-30,pioggia,17.4,autunno,settembre
poliestere,scuro,lunga,autunno,2022-11-21,pioggia,4.55,autunno,novembre
poliestere,scuro,lunga,estate,2022-09-13,soleggiato,17.35,autunno,settembre
cotone,colorato,lunga,estate,2022-07-02,soleggiato,28.200000000000003,estate,luglio
poliestere,chiaro,lunga,autunno,2022-06-09,soleggiato,26.4,estate,giugno
poliestere,colorato,corta,estate,2022-04-15,soleggiato,15.9,primavera,aprile
velluto,scuro,lunga,autunno_inverno,2022-10-24,nuvoloso,21.15,autunno,ottobre
poliestere,colorato,lunga,autunno,2022-05-21,soleggiato,19.15,primavera,maggio
cotone,scuro,lunga,primavera_estate,2022-04-12,soleggiato,10.75,primavera,aprile
poliestere,scuro,lunga,autunno,2022-11-18,pioggia,7.4,autunno,novembre
poliestere,colorato,lunga,primavera_estate,2022-01-22,soleggiato,0.25,inverno,gennaio
poliestere,colorato,lunga,primavera_estate,2022-07-17,pioggia,19.2,estate,luglio
poliestere,scuro,corta,estate,2022-01-27,soleggiato,5.4,inverno,gennaio
poliestere,scuro,lunga,autunno,2022-06-20,soleggiato,25.5,estate,giugno
poliestere,scuro,lunga,autunno,2022-06-25,pioggia,26.3,estate,giugno
poliestere,scuro,corta,estate,2022-07-04,soleggiato,35.25,estate,luglio
poliestere,chiaro,lunga,primavera_estate,2022-01-30,soleggiato,5.0,inverno,gennaio
poliestere,chiaro,lunga,estate,2022-09-25,pioggia,11.95,autunno,settembre
poliestere,scuro,lunga,estate,2022-01-17,nuvoloso,8.5,inverno,gennaio
poliestere,colorato,lunga,autunno,2022-12-14,pioggia,13.9,inverno,dicembre
poliestere,colorato,corta,estate,2022-03-12,pioggia,9.7,primavera,marzo
cotone,colorato,lunga,primavera_estate,2022-07-11,soleggiato,24.75,estate,luglio
cotone,chiaro,corta,estate,2022-02-04,soleggiato,4.800000000000001,inverno,febbraio
cotone,scuro,corta,estate,2022-07-21,soleggiato,30.9,estate,luglio
poliestere,chiaro,lunga,autunno,2022-01-17,soleggiato,-5.8,inverno,gennaio
poliestere,chiaro,corta,estate,2022-02-02,neve,6.550000000000001,inverno,febbraio
poliestere,colorato,lunga,primavera_estate,2022-08-10,soleggiato,27.8,estate,agosto
cotone,scuro,corta,estate,2022-03-28,soleggiato,10.75,primavera,marzo
cotone,colorato,lunga,estate,2022-12-01,pioggia,8.35,inverno,dicembre
poliestere,colorato,lunga,estate,2022-04-27,soleggiato,14.95,primavera,aprile
poliestere,chiaro,lunga,primavera_estate,2022-02-08,soleggiato,3.25,inverno,febbraio
poliestere,chiaro,lunga,primavera_estate,2022-08-28,pioggia,26.700000000000003,estate,agosto
raso,chiaro,lunga,autunno,2022-10-09,nuvoloso,18.2,autunno,ottobre
cotone,scuro,corta,estate,2022-05-25,pioggia,22.8,primavera,maggio
poliestere,chiaro,lunga,estate,2022-06-05,soleggiato,32.3,estate,giugno
poliestere,chiaro,corta,estate,2022-05-25,pioggia,20.55,primavera,maggio
cotone,scuro,lunga,primavera_estate,2022-04-21,pioggia,16.15,primavera,aprile
poliestere,colorato,lunga,autunno,2022-02-18,pioggia,5.6,inverno,febbraio
poliestere,scuro,corta,estate,2022-04-02,pioggia,3.55,primavera,aprile
poliestere,colorato,lunga,primavera_estate,2022-09-02,soleggiato,25.75,autunno,settembre
poliestere,scuro,lunga,autunno,2022-04-23,nuvoloso,13.05,primavera,aprile
poliestere,scuro,lunga,autunno,2022-05-25,pioggia,19.05,primavera,maggio
poliestere,colorato,lunga,estate,2022-12-03,pioggia,6.05,inverno,dicembre
poliestere,scuro,lunga,primavera_estate,2022-02-01,pioggia,4.3,inverno,febbraio
poliestere,colorato,lunga,primavera_estate,2022-10-03,pioggia,20.5,autunno,ottobre
cotone,scuro,lunga,autunno,2022-03-28,pioggia,9.75,primavera,marzo
poliestere,colorato,lunga,primavera,2022-05-26,soleggiato,24.3,primavera,maggio
poliestere,chiaro,lunga,estate,2022-04-06,pioggia,6.949999999999999,primavera,aprile
poliestere,colorato,lunga,primavera_estate,2022-09-05,soleggiato,28.15,autunno,settembre
cotone,chiaro,corta,estate,2022-10-23,pioggia,22.950000000000003,autunno,ottobre
cotone,chiaro,lunga,primavera,2022-08-07,pioggia,25.65,estate,agosto
poliestere,colorato,lunga,primavera_estate,2022-01-01,soleggiato,8.0,inverno,gennaio
poliestere,chiaro,lunga,primavera_estate,2022-02-08,soleggiato,3.95,inverno,febbraio
poliestere,colorato,corta,estate,2022-10-05,soleggiato,18.4,autunno,ottobre
poliestere,scuro,lunga,autunno,2022-06-11,soleggiato,24.45,estate,giugno
poliestere,chiaro,corta,estate,2022-07-10,soleggiato,23.8,estate,luglio
poliestere,chiaro,lunga,estate,2022-11-14,pioggia,13.95,autunno,novembre
cotone,scuro,lunga,estate,2022-01-27,nuvoloso,0.3500000000000001,inverno,gennaio
poliestere,scuro,corta,estate,2022-01-15,soleggiato,-2.15,inverno,gennaio
poliestere,scuro,corta,primavera_estate,2022-06-30,soleggiato,28.3,estate,giugno
cotone,scuro,lunga,primavera_estate,2022-05-31,pioggia,20.2,primavera,maggio
cotone,scuro,corta,estate,2022-02-25,soleggiato,10.45,inverno,febbraio
poliestere,colorato,lunga,estate,2022-03-09,soleggiato,1.65,primavera,marzo
poliestere,chiaro,corta,estate,2022-09-29,pioggia,17.65,autunno,settembre
poliestere,scuro,lunga,autunno,2022-06-29,soleggiato,29.05,estate,giugno
poliestere,colorato,lunga,estate,2022-04-21,pioggia,13.2,primavera,aprile
poliestere,chiaro,corta,estate,2022-08-31,pioggia,26.4,estate,agosto
poliestere,chiaro,lunga,estate,2022-01-23,soleggiato,2.4,inverno,gennaio
cotone,scuro,corta,estate,2022-10-13,nuvoloso,17.6,autunno,ottobre
cotone,colorato,corta,estate,2022-03-21,soleggiato,4.85,primavera,marzo
cotone,scuro,lunga,autunno,2022-11-20,pioggia,7.399999999999999,autunno,novembre
velluto,colorato,lunga,autunno_inverno,2022-06-24,soleggiato,24.85,estate,giugno
raso,scuro,lunga,all,2022-02-11,pioggia,8.25,inverno,febbraio
cotone,scuro,corta,estate,2022-11-22,pioggia,3.55,autunno,novembre
cotone,colorato,lunga,estate,2022-12-12,nuvoloso,2.6500000000000004,inverno,dicembre
cotone,scuro,lunga,autunno,2022-08-05,pioggia,32.85,estate,agosto
cotone,chiaro,corta,estate,2022-09-05,pioggia,23.55,autunno,settembre
cotone,scuro,lunga,primavera_estate,2022-07-08,soleggiato,25.4,estate,luglio
cotone,colorato,corta,estate,2022-02-13,soleggiato,1.5,inverno,febbraio
poliestere,colorato,corta,estate,2022-06-23,pioggia,29.15,estate,giugno
poliestere,chiaro,lunga,primavera_estate,2022-08-25,pioggia,18.2,estate,agosto
cotone,scuro,lunga,primavera_estate,2022-02-04,soleggiato,5.55,inverno,febbraio
poliestere,chiaro,lunga,primavera_estate,2022-07-20,soleggiato,31.0,estate,luglio
poliestere,scuro,corta,estate,2022-05-30,soleggiato,23.85,primavera,maggio
poliestere,colorato,corta,estate,2022-11-25,nuvoloso,6.9,autunno,novembre
poliestere,scuro,lunga,primavera_estate,2022-07-12,nuvoloso,27.85,estate,luglio
velluto,scuro,lunga,all,2022-09-09,pioggia,23.85,autunno,settembre
poliestere,scuro,corta,estate,2022-01-05,pioggia,10.25,inverno,gennaio
poliestere,scuro,corta,estate,2022-02-17,soleggiato,6.45,inverno,febbraio
poliestere,chiaro,lunga,primavera,2022-03-29,nuvoloso,10.85,primavera,marzo
cotone,colorato,lunga,estate,2022-08-25,soleggiato,27.95,estate,agosto
poliestere,colorato,lunga,primavera_estate,2022-12-05,nuvoloso,6.1,inverno,dicembre
poliestere,scuro,corta,estate,2022-07-23,pioggia,20.200000000000003,estate,luglio
cotone,scuro,corta,estate,2022-08-02,pioggia,28.7,estate,agosto
poliestere,scuro,lunga,autunno,2022-06-12,soleggiato,25.9,estate,giugno
poliestere,chiaro,lunga,estate,2022-05-10,pioggia,12.8,primavera,maggio
poliestere,colorato,lunga,estate,2022-04-01,pioggia,6.8500000000000005,primavera,aprile
poliestere,scuro,lunga,primavera_estate,2022-09-30,pioggia,20.95,autunno,settembre
poliestere,scuro,lunga,primavera_estate,2022-12-24,pioggia,14.3,inverno,dicembre
poliestere,chiaro,corta,estate,2022-09-27,pioggia,17.95,autunno,settembre
poliestere,chiaro,lunga,primavera_estate,2022-09-27,pioggia,16.799999999999997,autunno,settembre
poliestere,scuro,corta,estate,2022-04-07,soleggiato,11.15,primavera,aprile
cotone,chiaro,lunga,estate,2022-07-06,pioggia,28.05,estate,luglio
poliestere,chiaro,corta,estate,2022-05-21,soleggiato,21.0,primavera,maggio
poliestere,colorato,corta,estate,2022-09-06,pioggia,27.25,autunno,settembre
poliestere,colorato,corta,estate,2022-01-28,pioggia,7.0,inverno,gennaio
cotone,colorato,lunga,estate,2022-07-11,soleggiato,24.450000000000003,estate,luglio
poliestere,colorato,lunga,primavera,2022-04-20,nuvoloso,10.85,primavera,aprile
poliestere,colorato,lunga,autunno,2022-01-28,pioggia,5.6000000000000005,inverno,gennaio
cotone,colorato,lunga,estate,2022-11-04,pioggia,12.75,autunno,novembre
poliestere,colorato,corta,estate,2022-03-15,pioggia,7.9,primavera,marzo
poliestere,scuro,lunga,primavera_estate,2022-03-13,nuvoloso,4.7,primavera,marzo
cotone,colorato,corta,estate,2022-03-16,soleggiato,5.35,primavera,marzo
raso,chiaro,lunga,primavera,2022-05-15,pioggia,24.75,primavera,maggio
poliestere,scuro,lunga,autunno,2022-04-10,neve,2.1,primavera,aprile
cotone,scuro,lunga,estate,2022-07-11,soleggiato,17.9,estate,luglio
poliestere,chiaro,corta,estate,2022-11-08,nuvoloso,9.4,autunno,novembre
poliestere,scuro,corta,estate,2022-06-06,soleggiato,27.5,estate,giugno
poliestere,scuro,lunga,primavera_estate,2022-07-15,soleggiato,25.6,estate,luglio
poliestere,colorato,lunga,estate,2022-05-10,soleggiato,20.450000000000003,primavera,maggio
poliestere,scuro,corta,estate,2022-12-20,soleggiato,2.0,inverno,dicembre
poliestere,chiaro,lunga,primavera_estate,2022-11-21,pioggia,10.65,autunno,novembre
cotone,colorato,lunga,autunno,2022-05-26,soleggiato,24.85,primavera,maggio
poliestere,colorato,lunga,autunno,2022-07-15,soleggiato,31.35,estate,luglio
velluto,scuro,lunga,autunno,2022-04-03,neve,-5.3500000000000005,primavera,aprile
poliestere,colorato,lunga,autunno,2022-02-18,nuvoloso,6.3,inverno,febbraio
poliestere,scuro,lunga,autunno,2022-04-15,pioggia,11.9,primavera,aprile
poliestere,scuro,lunga,autunno,2022-09-02,soleggiato,22.85,autunno,settembre
poliestere,scuro,lunga,estate,2022-07-23,soleggiato,35.15,estate,luglio
cotone,colorato,lunga,estate,2022-08-21,pioggia,16.15,estate,agosto
poliestere,colorato,lunga,primavera_estate,2022-01-27,pioggia,6.95,inverno,gennaio
poliestere,colorato,lunga,primavera_estate,2022-10-24,pioggia,21.45,autunno,ottobre
poliestere,scuro,lunga,autunno,2022-06-04,soleggiato,31.700000000000003,estate,giugno
poliestere,colorato,lunga,estate,2022-06-06,soleggiato,30.6,estate,giugno
poliestere,colorato,lunga,estate,2022-06-05,pioggia,28.4,estate,giugno
poliestere,scuro,lunga,autunno,2022-06-16,soleggiato,28.55,estate,giugno
cotone,chiaro,corta,estate,2022-05-01,soleggiato,14.35,primavera,maggio
poliestere,colorato,lunga,primavera_estate,2022-01-18,soleggiato,9.9,inverno,gennaio
poliestere,chiaro,corta,estate,2022-01-23,soleggiato,0.0,inverno,gennaio
poliestere,colorato,lunga,autunno,2022-11-07,soleggiato,15.15,autunno,novembre
poliestere,scuro,lunga,autunno,2022-08-10,soleggiato,24.9,estate,agosto
poliestere,colorato,corta,estate,2022-07-08,soleggiato,26.25,estate,luglio
cotone,chiaro,corta,estate,2022-02-17,nuvoloso,6.1,inverno,febbraio
raso,colorato,corta,estate,2022-03-26,soleggiato,10.75,primavera,marzo
cotone,colorato,lunga,autunno,2022-06-23,pioggia,22.25,estate,giugno
poliestere,colorato,lunga,autunno,2022-11-26,pioggia,15.05,autunno,novembre
poliestere,colorato,lunga,estate,2022-03-23,soleggiato,2.25,primavera,marzo
poliestere,scuro,lunga,autunno,2022-09-24,pioggia,16.4,autunno,settembre
poliestere,colorato,lunga,estate,2022-10-09,pioggia,19.0,autunno,ottobre
cotone,scuro,lunga,estate,2022-07-26,soleggiato,34.45,estate,luglio
